,1pok-fiber2,half,fiber,wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Peroxisome,golgi,lipid droplet,Category,SGA-hit,names,n1pok-fiber2,nhalf,nfiber,nwt,y1pok-fiber2,yhalf,yfiber,ywt,r1pok-fiber2,rhalf,rfiber,rwt
1,3726.73529411765,3914.32738095238,3889.14906832298,NA,1,0,0,0,0,0,0,0,0,0,Oxidative-stress,1,GND1,102,168,161,NA,64.4979803921569,43.1710773809524,68.8559192546584,NA,2296.17425490196,2500.88276190476,2440.22658385093,NA
2,3856.58571428571,4290.01530612245,3941.53289473684,NA,0,1,1,0,0,0,0,0,0,1,Lipid-Related,1,ERG6,70,392,152,NA,56.6189142857143,39.505887755102,68.3467434210526,NA,1262.29355714286,1449.08720918367,1354.03220394737,NA
3,1089.51063829787,1018.68072289157,1071.83486238532,NA,1,0,0,0,0,0,0,0,0,0,Stress-related,0,PUB1,47,166,218,NA,53.9557021276596,35.9389638554217,59.4709862385321,NA,592.750063829787,619.405909638554,642.307412844037,NA
4,1102.48936170213,950.835555555556,1049.08064516129,NA,0,0,0,1,0,0,0,0,0,0,Proteasome,0,PRE1,47,225,186,NA,50.8443404255319,36.0998,63.4279086021505,NA,357.503191489362,329.231102222222,362.641172043011,NA
5,181.373417721519,149.117647058824,157.193548387097,NA,1,0,0,0,0,0,0,0,0,0,Protease,0,SDD3,158,340,155,NA,52.4959810126582,35.3516088235294,59.5871161290323,NA,96.1505253164557,84.5883882352941,95.4365032258064,NA
6,2016.09523809524,2201.75,2343.58169934641,7151.32710280374,0,0,1,0,0,0,0,0,0,0,AA-related,1,BAP2,42,168,153,214,51.5220238095238,36.4116011904762,63.1565947712418,38.8123457943925,375.304452380952,419.200255952381,446.720045751634,1285.73879906542
7,791.875,819.438848920863,864.8,NA,1,0,0,0,0,0,0,0,0,0,Stress-related,0,TPS1,80,139,115,NA,55.2694125,36.7011366906475,69.5261913043478,NA,462.364675,472.217467625899,500.088182608696,NA
8,83.6933333333333,91.6898734177215,99.0181818181818,NA,1,0,0,0,0,0,0,0,0,0,Lipid-Related,1,PDR17,75,158,110,NA,58.53416,33.9702721518987,66.1069181818182,NA,36.6123733333333,35.7445063291139,48.4030363636364,NA
9,739.196078431373,812,865.103703703704,NA,1,0,0,0,0,0,0,0,0,0,AA-related,0,ARG4,51,124,135,NA,53.2686274509804,39.1409516129032,73.4258074074074,NA,439.597666666667,494.816129032258,515.202962962963,NA
10,305.875,363.478873239437,334.412698412698,NA,0,1,0,0,0,0,0,0,0,0,Stress-related,0,TPS2,16,71,63,NA,54.225875,42.0256338028169,53.1594285714286,NA,144.6785625,194.340070422535,177.503619047619,NA
